"Autore","Pagine","Prezzo copertina flessibile","Titolo","Venditore","Valutazione","Editore"
"Lev Tolstoj","1412 pagine","16,50 €","Guerra e pace","Amazon","4,5 su 5","Mondadori; 2° edizione (6 luglio 2017)"
"Umberto Eco","672 pagine","17,10 €","Il nome della rosa. Ediz. illustrata","Amazon","4,5 su 5","La nave di Teseo; Illustrated edizione (21 maggio 2020)"
"Paolo Atzeni","766 pagine","41,65 €","Basi di dati. Con Connect","Amazon","4,6 su 5","McGraw-Hill Education; 5° edizione (15 febbraio 2018)"
"Daniele Braga","128 pagine","12,75 €","Eserciziario di Basi di Dati","Amazon","4,5 su 5","Società Editrice Esculapio; 3° edizione (1 dicembre 2009)"
"Luca Cabibbo","614 pagine","31,80 €","Architettura del software. Strutture e qualità","Amazon","4,6 su 5","Edizioni Efesto (15 febbraio 2021)"
"Simone Teodori","94 pagine","3,30 €","Quantum Computing","Amazon","1 su 5","Independently published (14 gennaio 2022)"
"Dante Alighieri","259 pagine","15,20 €","La Divina Commedia: Inferno, Purgatorio e Paradiso","Amazon","4,5 su 5","Independently published (12 febbraio 2022)"
"Alessandro Manzoni","276 pagine","12,48 €","I promessi sposi: Versione integrale (più riassunti per capitolo)","Amazon","4,1 su 5","Independently published (12 marzo 2022)"
"Degna Marconi Paresce","312 pagine","14,25 €","Marconi, mio padre","Amazon","5 su 5","Di Renzo Editore (1 gennaio 2008)"
"Jürgen Kaube","5417 pagine","33,25 €","Il mondo di Hegel","Amazon","4 su 5","Einaudi (4 ottobre 2022)"
"William Shakespeare","256 pagine","8,55 €","Macbeth","Amazon","4,6 su 5","Feltrinelli (1 novembre 2013)"
"J. K. Rowling","224 pagine","","Harry Potter e la camera dei segreti Tascabile (Vol. 2)","Amazon","4,8 su 5","Salani; 19° edizione (23 gennaio 2020)"
